epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
45	0.7019	1.4027	|	0.8719	0.6228	25.9362	58.5366	|	1.3710	1.1424	-16.4681	18.6047	|  Best result at epoch 39
46	1.0470	1.2093	|	0.8238	0.6567	30.0216	53.6585	|	1.0871	0.9174	7.6488	16.2791	|  Best result at epoch 39
47	0.5581	1.5476	|	0.9442	0.7650	19.7936	43.9024	|	0.9911	0.6556	15.8019	27.9070	|  Best result at epoch 39
48	0.6526	1.8004	|	1.0552	0.9620	10.3577	34.1463	|	0.9479	0.6776	19.4735	34.8837	|  Best result at epoch 39
49	0.7037	2.7591	|	1.4218	1.3013	-20.7790	12.1951	|	0.9351	0.3677	20.5668	39.5349	|  Best result at epoch 39
50	0.9971	2.0346	|	1.1319	0.9341	3.8458	41.4634	|	1.7442	1.6155	-48.1711	16.2791	|  Best result at epoch 39
51	1.7027	2.0026	|	1.1445	1.1128	2.7766	21.9512	|	0.8835	0.4949	24.9488	34.8837	|  Best result at epoch 39
52	0.7737	1.3992	|	0.8961	0.7214	23.8801	43.9024	|	0.9909	0.7240	15.8225	20.9302	|  Best result at epoch 39
53	0.6402	1.4778	|	0.9354	0.7358	20.5391	43.9024	|	0.9865	0.6485	16.1950	23.2558	|  Best result at epoch 39
54	0.5955	1.4007	|	0.9136	0.7107	22.3892	39.0244	|	1.0410	0.7825	11.5685	25.5814	|  Best result at epoch 39
55	0.5390	1.1714	|	0.7893	0.6542	32.9531	53.6585	|	1.3037	1.2393	-10.7528	16.2791	|  Best result at epoch 39
56	0.6477	1.1410	|	0.7518	0.5575	36.1350	56.0976	|	1.3362	1.3562	-13.5080	16.2791	|  Best result at epoch 39
57	0.6068	1.9492	|	1.0928	0.9486	7.1692	41.4634	|	1.6157	1.5164	-37.2538	13.9535	|  Best result at epoch 39
58	1.0031	1.1251	|	0.7653	0.6589	34.9909	48.7805	|	1.1633	1.0085	1.1757	16.2791	|  Best result at epoch 39
59	0.5519	1.3740	|	0.8859	0.6570	24.7427	53.6585	|	1.3501	1.3786	-14.6904	16.2791	|  Best result at epoch 39
60	0.7091	1.0797	|	0.7489	0.5616	36.3802	53.6585	|	1.0702	0.7858	9.0855	16.2791	|  Best result at epoch 60
61	0.4441	1.4367	|	0.8728	0.6267	25.8547	56.0976	|	1.3077	1.0400	-11.0854	18.6047	|  Best result at epoch 60
62	0.5004	1.6615	|	0.9524	0.7031	19.0974	41.4634	|	1.4565	1.1949	-23.7289	11.6279	|  Best result at epoch 60
