epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
46	0.8327	0.7647	|	0.4184	0.1050	63.2327	70.9677	|	0.7441	0.7648	34.6086	44.4444	|  Best result at epoch 41
47	1.7655	0.7574	|	0.4905	0.1576	56.8970	61.2903	|	0.9239	0.8335	18.8037	39.6825	|  Best result at epoch 41
48	2.4000	0.9264	|	0.5252	0.2239	53.8442	69.3548	|	0.8744	0.8056	23.1592	38.0952	|  Best result at epoch 41
49	1.0970	0.8288	|	0.4586	0.1560	59.6958	74.1935	|	0.8390	0.9543	26.2689	44.4444	|  Best result at epoch 41
50	2.4333	1.0664	|	0.6336	0.3207	44.3203	16.1290	|	0.9714	0.9236	14.6303	12.6984	|  Best result at epoch 41
51	2.0430	0.6803	|	0.4629	0.2243	59.3228	56.4516	|	0.7131	0.6142	37.3316	34.9206	|  Best result at epoch 41
52	1.8575	0.6923	|	0.5217	0.3141	54.1538	41.9355	|	0.8839	0.6635	22.3196	30.1587	|  Best result at epoch 41
53	12.1887	0.9208	|	0.5077	0.1833	55.3794	72.5806	|	0.8424	0.9036	25.9681	42.8571	|  Best result at epoch 41
54	3.5005	0.6680	|	0.5043	0.3344	55.6855	33.8710	|	0.6830	0.5047	39.9788	25.3968	|  Best result at epoch 41
55	2.7063	0.6874	|	0.4397	0.1982	61.3591	59.6774	|	0.7157	0.6217	37.1040	34.9206	|  Best result at epoch 41
56	2.3905	0.7920	|	0.4651	0.1676	59.1281	69.3548	|	0.8351	0.8887	26.6105	38.0952	|  Best result at epoch 41
57	1.7344	0.7252	|	0.4582	0.1717	59.7356	59.6774	|	0.8015	0.6905	29.5668	38.0952	|  Best result at epoch 41
58	1.1751	0.8360	|	0.5088	0.2063	55.2838	66.1290	|	0.9472	0.9396	16.7580	36.5079	|  Best result at epoch 41
59	1.0051	0.8211	|	0.4995	0.1797	56.1042	62.9032	|	0.9386	0.8083	17.5134	34.9206	|  Best result at epoch 41
60	2.0090	0.9267	|	0.5349	0.2319	52.9937	58.0645	|	0.9093	1.0486	20.0861	33.3333	|  Best result at epoch 41
61	1.0961	0.8685	|	0.4901	0.1924	56.9258	70.9677	|	0.8467	0.8929	25.5903	41.2698	|  Best result at epoch 41
62	0.9961	0.8137	|	0.4644	0.1651	59.1883	69.3548	|	0.8527	0.8963	25.0604	38.0952	|  Best result at epoch 41
63	1.2528	0.7785	|	0.4469	0.1374	60.7278	69.3548	|	0.8488	0.8315	25.4028	42.8571	|  Best result at epoch 41
64	1.1726	0.7836	|	0.4528	0.1535	60.2049	66.1290	|	0.8484	0.8575	25.4397	39.6825	|  Best result at epoch 41
65	1.6143	0.8088	|	0.4772	0.1838	58.0656	64.5161	|	0.8763	0.9445	22.9883	38.0952	|  Best result at epoch 41
66	1.5928	0.8261	|	0.5003	0.1991	56.0316	64.5161	|	0.9657	0.9385	15.1348	33.3333	|  Best result at epoch 41
67	3.4788	0.7788	|	0.4251	0.1133	62.6442	70.9677	|	0.7609	0.7407	33.1331	46.0317	|  Best result at epoch 41
68	1.2253	0.7280	|	0.4375	0.1302	61.5551	67.7419	|	0.7972	0.6828	29.9379	41.2698	|  Best result at epoch 41
69	1.1813	0.8173	|	0.4938	0.2080	56.6015	64.5161	|	0.9103	0.8992	20.0002	33.3333	|  Best result at epoch 41
70	1.0325	0.8445	|	0.5054	0.2258	55.5847	64.5161	|	0.9403	1.0089	17.3665	33.3333	|  Best result at epoch 41
71	1.0684	0.8355	|	0.4777	0.1789	58.0174	72.5806	|	0.8808	1.0428	22.5973	41.2698	|  Best result at epoch 41
72	1.1213	0.7442	|	0.4231	0.0925	62.8210	70.9677	|	0.7787	0.8047	31.5671	41.2698	|  Best result at epoch 41
73	1.0055	0.8761	|	0.5055	0.2095	55.5744	67.7419	|	0.8724	0.8426	23.3344	38.0952	|  Best result at epoch 41
74	1.6848	0.6686	|	0.4350	0.1762	61.7731	61.2903	|	0.7899	0.7410	30.5841	38.0952	|  Best result at epoch 41
75	2.2801	0.7162	|	0.4471	0.1479	60.7050	67.7419	|	0.8804	0.8184	22.6304	39.6825	|  Best result at epoch 41
76	1.4668	0.7819	|	0.4566	0.1610	59.8747	74.1935	|	0.8818	0.9489	22.5058	42.8571	|  Best result at epoch 41
77	3.4053	0.9175	|	0.5208	0.2079	54.2339	69.3548	|	0.8654	0.9199	23.9453	39.6825	|  Best result at epoch 41
78	2.6777	0.7099	|	0.4199	0.1354	63.0985	69.3548	|	0.7837	0.7294	31.1274	42.8571	|  Best result at epoch 41
79	1.1154	0.7801	|	0.4601	0.1692	59.5646	69.3548	|	0.8731	0.8425	23.2719	38.0952	|  Best result at epoch 41
80	2.6830	0.7985	|	0.4613	0.1677	59.4626	69.3548	|	0.8341	0.8326	26.7016	36.5079	|  Best result at epoch 41
81	1.8588	0.7945	|	0.4970	0.2190	56.3254	61.2903	|	0.9070	0.9000	20.2929	36.5079	|  Best result at epoch 41
82	1.1898	0.7465	|	0.4608	0.1640	59.5080	69.3548	|	0.8350	0.8279	26.6168	39.6825	|  Best result at epoch 41
83	0.8835	0.7660	|	0.4812	0.1897	57.7089	67.7419	|	0.9034	0.8488	20.6050	36.5079	|  Best result at epoch 41
84	1.5453	0.8682	|	0.5093	0.2088	55.2375	67.7419	|	0.9075	0.9715	20.2453	36.5079	|  Best result at epoch 41
85	1.6040	0.7826	|	0.4621	0.1099	59.3892	67.7419	|	0.8665	0.8782	23.8521	41.2698	|  Best result at epoch 41
86	1.5430	0.8756	|	0.4985	0.1862	56.1883	77.4194	|	0.8478	0.8410	25.4898	46.0317	|  Best result at epoch 41
87	0.8647	0.7269	|	0.4236	0.1253	62.7721	74.1935	|	0.8146	0.9290	28.4156	42.8571	|  Best result at epoch 41
