epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
45	5.1380	4.6974	|	1.0416	0.4131	52.2081	23.3333	|	1.1391	0.7575	47.7359	14.2857	|  Best result at epoch 39
46	6.1027	5.1462	|	1.0503	0.1195	51.8068	53.3333	|	1.1295	0.9674	48.1735	31.7460	|  Best result at epoch 39
47	8.9988	4.4287	|	1.0524	0.4483	51.7140	16.6667	|	1.0603	0.6970	51.3508	23.8095	|  Best result at epoch 39
48	6.0475	4.6991	|	1.0710	0.3735	50.8592	50.0000	|	1.2997	0.8928	40.3645	20.6349	|  Best result at epoch 39
49	18.7638	4.4427	|	0.9617	0.3165	55.8754	50.0000	|	1.0142	0.7981	53.4647	28.5714	|  Best result at epoch 39
50	5.1205	4.6846	|	1.1786	0.5157	45.9210	30.0000	|	1.3650	0.9159	37.3675	22.2222	|  Best result at epoch 39
51	7.5331	5.1231	|	1.2553	0.5328	42.4003	43.3333	|	1.5637	1.0294	28.2495	14.2857	|  Best result at epoch 39
52	2.3130	5.0271	|	1.0537	0.2759	51.6507	53.3333	|	1.3488	0.9747	38.1126	20.6349	|  Best result at epoch 39
53	4.6669	5.3134	|	1.2062	0.4174	44.6560	45.0000	|	1.5210	1.1551	30.2120	20.6349	|  Best result at epoch 39
54	2.3025	4.7672	|	1.0551	0.3323	51.5875	33.3333	|	1.2806	0.7789	41.2423	12.6984	|  Best result at epoch 39
55	2.4156	4.7878	|	0.9829	0.3268	54.9002	53.3333	|	1.1108	0.8187	49.0324	20.6349	|  Best result at epoch 39
56	2.2191	4.9760	|	1.1517	0.3911	47.1569	30.0000	|	1.2583	0.8011	42.2636	22.2222	|  Best result at epoch 39
57	2.8171	5.1515	|	1.0707	0.2719	50.8706	55.0000	|	1.3035	0.9539	40.1912	19.0476	|  Best result at epoch 39
58	2.0070	5.2002	|	1.2143	0.4649	44.2850	38.3333	|	1.3260	0.8521	39.1601	23.8095	|  Best result at epoch 39
59	4.6979	6.5378	|	1.4089	0.3687	35.3549	48.3333	|	1.6882	1.1439	22.5376	17.4603	|  Best result at epoch 39
60	3.3657	4.7502	|	1.1489	0.5171	47.2838	6.6667	|	1.2069	0.7095	44.6214	12.6984	|  Best result at epoch 39
61	4.5398	4.6445	|	1.0181	0.3562	53.2868	26.6667	|	1.1546	0.7546	47.0212	6.3492	|  Best result at epoch 39
62	2.4708	5.5151	|	1.2251	0.4651	43.7859	48.3333	|	1.4715	0.9273	32.4815	26.9841	|  Best result at epoch 39
63	2.7515	4.9049	|	0.9715	0.1605	55.4217	58.3333	|	1.1793	0.9421	45.8912	17.4603	|  Best result at epoch 39
64	4.9454	4.7744	|	1.0033	0.2358	53.9661	55.0000	|	1.1398	0.8318	47.6995	23.8095	|  Best result at epoch 39
65	7.4089	6.2706	|	1.4623	0.4530	32.9039	21.6667	|	1.6772	1.1698	23.0449	11.1111	|  Best result at epoch 39
66	4.7022	4.9827	|	1.0377	0.2104	52.3857	53.3333	|	1.1486	0.9343	47.2955	26.9841	|  Best result at epoch 39
67	5.6808	4.6361	|	1.0982	0.4685	49.6122	10.0000	|	1.3162	0.7231	39.6057	15.8730	|  Best result at epoch 39
68	3.0019	5.1941	|	1.2040	0.4298	44.7573	45.0000	|	1.4276	1.0073	34.4944	23.8095	|  Best result at epoch 39
69	3.1197	5.2179	|	1.1574	0.2799	46.8958	50.0000	|	1.3961	0.9022	35.9416	22.2222	|  Best result at epoch 39
70	5.1690	7.2832	|	1.5382	0.4600	29.4203	43.3333	|	2.1041	1.3851	3.4579	11.1111	|  Best result at epoch 39
71	2.4415	5.6403	|	1.2770	0.4102	41.4062	41.6667	|	1.6632	1.2880	23.6855	14.2857	|  Best result at epoch 39
72	2.8109	4.7565	|	0.9876	0.2755	54.6863	53.3333	|	1.1690	0.8404	46.3636	12.6984	|  Best result at epoch 39
73	4.0496	5.6012	|	1.2319	0.3393	43.4759	46.6667	|	1.6543	1.1812	24.0947	15.8730	|  Best result at epoch 39
74	2.1535	4.9634	|	1.0559	0.2402	51.5490	56.6667	|	1.3014	0.8524	40.2854	22.2222	|  Best result at epoch 39
75	2.0339	4.8196	|	1.0837	0.3168	50.2747	31.6667	|	1.3154	0.8028	39.6454	19.0476	|  Best result at epoch 39
76	2.0897	4.8061	|	0.9899	0.2865	54.5791	53.3333	|	1.1300	0.8397	48.1520	15.8730	|  Best result at epoch 39
77	6.0309	5.6982	|	1.2644	0.3624	41.9847	41.6667	|	1.6054	1.1049	26.3370	17.4603	|  Best result at epoch 39
78	4.2640	5.7484	|	1.3130	0.3990	39.7549	21.6667	|	1.6434	1.2913	24.5956	14.2857	|  Best result at epoch 39
79	2.7728	4.8930	|	0.9801	0.2606	55.0286	56.6667	|	1.3216	0.9163	39.3598	19.0476	|  Best result at epoch 39
80	1.8290	4.8354	|	1.0149	0.3322	53.4333	50.0000	|	1.1245	0.8390	48.4026	17.4603	|  Best result at epoch 39
81	3.9235	4.8199	|	0.9844	0.2275	54.8307	53.3333	|	1.3154	0.8847	39.6445	15.8730	|  Best result at epoch 39
82	5.8577	4.6817	|	1.0606	0.3290	51.3352	16.6667	|	1.2927	0.7528	40.6839	15.8730	|  Best result at epoch 39
83	3.4317	4.9321	|	1.0339	0.2262	52.5624	51.6667	|	1.3957	0.8555	35.9579	14.2857	|  Best result at epoch 39
84	6.1119	5.0547	|	1.1808	0.4249	45.8189	16.6667	|	1.5361	0.9956	29.5183	19.0476	|  Best result at epoch 39
85	2.0616	5.2579	|	1.1559	0.3345	46.9629	48.3333	|	1.5562	0.9476	28.5940	19.0476	|  Best result at epoch 39
86	5.4359	4.8229	|	1.0816	0.3302	50.3716	38.3333	|	1.2728	0.7779	41.5993	17.4603	|  Best result at epoch 39
87	4.5969	4.9618	|	1.0386	0.2485	52.3464	53.3333	|	1.3995	0.8126	35.7861	23.8095	|  Best result at epoch 39
88	2.9706	4.7856	|	0.9893	0.2572	54.6090	55.0000	|	1.2736	0.8390	41.5629	17.4603	|  Best result at epoch 39
89	2.2093	5.4108	|	1.1843	0.3497	45.6615	50.0000	|	1.6031	1.2801	26.4446	20.6349	|  Best result at epoch 39
