epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
46	25.6512	37.0985	|	4.1776	3.1229	30.1291	29.4737	|	4.2946	2.4231	28.1725	37.1134	|  Best result at epoch 46
47	26.7384	35.6237	|	4.1936	3.1392	29.8619	26.3158	|	4.3692	2.4423	26.9242	32.9897	|  Best result at epoch 46
48	24.8142	43.5624	|	4.3511	3.3414	27.2272	28.4211	|	4.0036	2.6607	33.0392	34.0206	|  Best result at epoch 46
49	21.8397	33.3402	|	4.3596	3.3510	27.0847	28.4211	|	4.3273	2.3870	27.6258	37.1134	|  Best result at epoch 46
50	36.9347	49.6064	|	4.4623	3.0209	25.3672	27.3684	|	3.8915	2.1224	34.9143	31.9588	|  Best result at epoch 46
51	26.5088	55.1132	|	4.9950	3.8527	16.4585	23.1579	|	4.3500	2.8288	27.2459	30.9278	|  Best result at epoch 46
52	23.5012	43.5877	|	4.6395	3.9851	22.4045	25.2632	|	4.4896	2.7892	24.9113	21.6495	|  Best result at epoch 46
53	20.6931	39.0815	|	4.2398	3.3001	29.0896	29.4737	|	4.0870	2.4638	31.6449	36.0825	|  Best result at epoch 46
54	29.4200	83.2779	|	6.5883	5.2693	-10.1892	6.3158	|	5.4533	3.9518	8.7930	10.3093	|  Best result at epoch 46
55	33.8346	44.9022	|	4.3832	3.2982	26.6901	25.2632	|	3.9479	2.2238	33.9718	34.0206	|  Best result at epoch 46
56	18.2351	37.1230	|	4.2936	3.3634	28.1893	21.0526	|	4.1645	2.3602	30.3478	23.7113	|  Best result at epoch 46
